Causa de muerte,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,2005,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,2004,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,2003,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,2002,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,2001,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,2000,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1999,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1998,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1997,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1996,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1995,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1994,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1993,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1992,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1991,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1990,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1989,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1988,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1987,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1986,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1985,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1984,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1983,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1982,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1981,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 50 a 54 años,1980,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2023,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2022,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2021,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2020,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2019,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2018,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2017,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2016,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2015,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2014,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2013,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2012,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2011,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2010,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2009,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2008,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2007,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2006,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2005,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2004,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2003,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2002,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2001,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,2000,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1999,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1998,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1997,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1996,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1995,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1994,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1993,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1992,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1991,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1990,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1989,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1988,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1987,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1986,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1985,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1984,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1983,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1982,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1981,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 55 a 59 años,1980,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2023,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2022,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2021,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2020,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2019,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2018,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2017,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2016,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2015,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2014,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2013,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2012,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2011,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2010,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2009,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2008,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2007,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2006,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2005,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2004,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2003,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2002,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2001,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,2000,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1999,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1998,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1997,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1996,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1995,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1994,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1993,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1992,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1991,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1990,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1989,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1988,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1987,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1986,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1985,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1984,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1983,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1982,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1981,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 60 a 64 años,1980,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2023,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2022,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2021,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2020,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2019,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2018,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2017,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2016,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2015,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2014,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2013,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2012,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2011,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2010,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2009,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2008,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2007,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2006,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2005,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2004,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2003,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2002,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2001,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,2000,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1999,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1998,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1997,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1996,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1995,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1994,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1993,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1992,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1991,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1990,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1989,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1988,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1987,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1986,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1985,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1984,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1983,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1982,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1981,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 65 a 69 años,1980,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2023,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2022,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2021,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2020,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2019,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2018,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2017,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2016,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2015,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2014,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2013,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2012,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2011,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2010,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2009,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2008,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2007,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2006,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2005,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2004,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2003,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2002,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2001,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,2000,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1999,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1998,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1997,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1996,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1995,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1994,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1993,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1992,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1991,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1990,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1989,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1988,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1987,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1986,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1985,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1984,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1983,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1982,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1981,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 70 a 74 años,1980,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2023,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2022,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2021,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2020,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2019,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2018,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2017,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2016,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2015,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2014,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2013,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2012,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2011,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2010,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2009,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2008,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2007,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2006,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2005,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2004,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2003,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2002,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2001,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,2000,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1999,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1998,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1997,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1996,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1995,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1994,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1993,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1992,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1991,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1990,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1989,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1988,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1987,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1986,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1985,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1984,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1983,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1982,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1981,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 75 a 79 años,1980,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2023,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2022,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2021,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2020,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2019,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2018,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2017,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2016,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2015,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2014,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2013,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2012,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2011,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2010,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2009,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2008,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2007,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2006,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2005,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2004,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2003,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2002,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2001,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,2000,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1999,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1998,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1997,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1996,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1995,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1994,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1993,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1992,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1991,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1990,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1989,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1988,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1987,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1986,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1985,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1984,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1983,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1982,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1981,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 80 a 84 años,1980,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 85 a 89 años,2023,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 85 a 89 años,2022,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 85 a 89 años,2021,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 85 a 89 años,2020,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 85 a 89 años,2019,0
"081  XV.Embarazo, parto y puerperio",Total,07 Castilla y León,De 85 a 89 años,2018,0
